Rk,Team,Overall,,,,,,,,,,,,,,,,,,,
1,Tampa Bay Lightning,62-16-4,,,,,,,,,,,,,,,,,,,
2,Calgary Flames,50-25-7,,,,,,,,,,,,,,,,,,,
3,Boston Bruins,49-24-9,,,,,,,,,,,,,,,,,,,
4,Washington Capitals,48-26-8,,,,,,,,,,,,,,,,,,,
5,New York Islanders,48-27-7,,,,,,,,,,,,,,,,,,,
6,San Jose Sharks,46-27-9,,,,,,,,,,,,,,,,,,,
7,Nashville Predators,47-29-6,,,,,,,,,,,,,,,,,,,
8,Toronto Maple Leafs,46-28-8,,,,,,,,,,,,,,,,,,,
9,Pittsburgh Penguins,44-26-12,,,,,,,,,,,,,,,,,,,
10,Winnipeg Jets,47-30-5,,,,,,,,,,,,,,,,,,,
11,Carolina Hurricanes,46-29-7,,,,,,,,,,,,,,,,,,,
12,St. Louis Blues,45-28-9,,,,,,,,,,,,,,,,,,,
13,Columbus Blue Jackets,47-31-4,,,,,,,,,,,,,,,,,,,
14,Montreal Canadiens,44-30-8,,,,,,,,,,,,,,,,,,,
15,Dallas Stars,43-32-7,,,,,,,,,,,,,,,,,,,
16,Vegas Golden Knights,43-32-7,,,,,,,,,,,,,,,,,,,
17,Colorado Avalanche,38-30-14,,,,,,,,,,,,,,,,,,,
18,Arizona Coyotes,39-35-8,,,,,,,,,,,,,,,,,,,
19,Florida Panthers,36-32-14,,,,,,,,,,,,,,,,,,,
20,Chicago Blackhawks,36-34-12,,,,,,,,,,,,,,,,,,,
21,Minnesota Wild,37-36-9,,,,,,,,,,,,,,,,,,,
22,Philadelphia Flyers,37-37-8,,,,,,,,,,,,,,,,,,,
23,Vancouver Canucks,35-36-11,,,,,,,,,,,,,,,,,,,
24,Anaheim Ducks,35-37-10,,,,,,,,,,,,,,,,,,,
25,Edmonton Oilers,35-38-9,,,,,,,,,,,,,,,,,,,
26,New York Rangers,32-36-14,,,,,,,,,,,,,,,,,,,
27,Buffalo Sabres,33-39-10,,,,,,,,,,,,,,,,,,,
28,Detroit Red Wings,32-40-10,,,,,,,,,,,,,,,,,,,
29,New Jersey Devils,31-41-10,,,,,,,,,,,,,,,,,,,
30,Los Angeles Kings,31-42-9,,,,,,,,,,,,,,,,,,,
31,Ottawa Senators,29-47-6,,,,,,,,,,,,,,,,,,,
