Rk,Team,Overall,,,,,,,,,,,,,,,,,,,,May
1,Florida Panthers,58-18-6,,,,,,,,,,,,,,,,,,,,
2,Colorado Avalanche,56-19-7,,,,,,,,,,,,,,,,,,,,
3,Carolina Hurricanes,54-20-8,,,,,,,,,,,,,,,,,,,,
4,Toronto Maple Leafs,54-21-7,,,,,,,,,,,,,,,,,,,,
5,Minnesota Wild,53-22-7,,,,,,,,,,,,,,,,,,,,
6,Calgary Flames,50-21-11,,,,,,,,,,,,,,,,,,,,
7,New York Rangers,52-24-6,,,,,,,,,,,,,,,,,,,,
8,Tampa Bay Lightning,51-23-8,,,,,,,,,,,,,,,,,,,,
9,St. Louis Blues,49-22-11,,,,,,,,,,,,,,,,,,,,
10,Boston Bruins,51-26-5,,,,,,,,,,,,,,,,,,,,
11,Edmonton Oilers,49-27-6,,,,,,,,,,,,,,,,,,,,
12,Pittsburgh Penguins,46-25-11,,,,,,,,,,,,,,,,,,,,
13,Washington Capitals,44-26-12,,,,,,,,,,,,,,,,,,,,
14,Los Angeles Kings,44-27-11,,,,,,,,,,,,,,,,,,,,
15,Dallas Stars,46-30-6,,,,,,,,,,,,,,,,,,,,
16,Nashville Predators,45-30-7,,,,,,,,,,,,,,,,,,,,
17,Vegas Golden Knights,43-31-8,,,,,,,,,,,,,,,,,,,,
18,Vancouver Canucks,40-30-12,,,,,,,,,,,,,,,,,,,,
19,Winnipeg Jets,39-32-11,,,,,,,,,,,,,,,,,,,,1-0-0
20,New York Islanders,37-35-10,,,,,,,,,,,,,,,,,,,,
21,Columbus Blue Jackets,37-38-7,,,,,,,,,,,,,,,,,,,,
22,San Jose Sharks,32-37-13,,,,,,,,,,,,,,,,,,,,
23,Anaheim Ducks,31-37-14,,,,,,,,,,,,,,,,,,,,
24,Buffalo Sabres,32-39-11,,,,,,,,,,,,,,,,,,,,
25,Detroit Red Wings,32-40-10,,,,,,,,,,,,,,,,,,,,
26,Ottawa Senators,33-42-7,,,,,,,,,,,,,,,,,,,,
27,Chicago Blackhawks,28-42-12,,,,,,,,,,,,,,,,,,,,
28,New Jersey Devils,27-46-9,,,,,,,,,,,,,,,,,,,,
29,Philadelphia Flyers,25-46-11,,,,,,,,,,,,,,,,,,,,
30,Seattle Kraken,27-49-6,,,,,,,,,,,,,,,,,,,,0-1-0
31,Arizona Coyotes,25-50-7,,,,,,,,,,,,,,,,,,,,
32,Montreal Canadiens,22-49-11,,,,,,,,,,,,,,,,,,,,
